time,speed_sensor,flex_sensor,action_time,record_time
0.0140718,0.03858,10789.66,None,
0.0298646,0.03858,10789.66,None,
0.0424368,0.03858,10789.66,None,
0.0564528,0.03858,11421.63,None,
0.0696682,0.03858,11421.63,None,
0.08323,0.03858,11421.63,None,
0.0973466,0.03858,11421.63,None,
0.1108883,0.03858,11421.63,None,
0.124721,0.03858,11421.63,None,
0.1393299,0.03858,11421.63,None,
0.1550142,0.03858,11421.63,None,
0.1683102,0.035961,11068.84,None,
0.1797303,0.035961,11068.84,None,
0.1937148,0.035961,11068.84,None,
0.2083089,0.035961,11068.84,None,
0.22145,0.035961,11068.84,None,
0.2359997,0.035961,11068.84,None,
0.2500584,0.035961,11068.84,None,
0.263063,0.03334,10859.21,None,
0.2773232,0.03334,10859.21,None,
0.2911826,0.03334,10859.21,None,
0.3042508,0.03334,10859.21,None,
0.3184349,0.03334,10859.21,None,
0.3327483,0.03334,10859.21,None,
0.3460846,0.03334,10859.21,None,
0.3604664,0.028573,11280,None,
0.3761351,0.028573,11280,None,
0.3883753,0.028573,11280,None,
0.4020685,0.028573,11280,None,
0.4162339,0.028573,11280,None,
0.4301074,0.028573,11280,None,
0.4436455,0.028573,11280,None,
0.4579535,0.028573,11280,None,
0.4715819,0.028573,11068.84,None,
0.485436,0.028573,11068.84,None,
0.4996644,0.028573,11068.84,None,
0.5139385,0.028573,11068.84,None,
0.5277112,0.028573,11068.84,None,
0.5411239,0.028573,11068.84,None,
0.5549709,0.028573,11068.84,None,
0.5689748,0.030954,10859.21,None,
0.5841281,0.030954,10859.21,None,
0.5965608,0.030954,10859.21,None,
0.610834,0.030954,10859.21,None,
0.6245148,0.030954,10859.21,None,
0.638088,0.030954,10859.21,None,
0.6525118,0.030954,10859.21,None,
0.6665047,0.030954,10859.21,None,
0.6802489,0.024263,11209.44,None,
0.6939647,0.024263,11209.44,None,
0.7080815,0.024263,11209.44,None,
0.7215083,0.024263,11209.44,None,
0.7354649,0.024263,11209.44,None,
0.7497258,0.024263,11209.44,None,
0.7628857,0.024263,11209.44,None,
0.7776436,0.026413,10928.92,None,
0.7932466,0.026413,10928.92,None,
0.80527,0.026413,10928.92,None,
0.8183791,0.026413,10928.92,None,
