time,speed_sensor,flex_sensor,action_time,record_time
0.0143407,0.179556,11706.96,None,
0.0298549,0.18671,11706.96,None,
0.0430449,0.18671,11706.96,None,
0.0570227,0.18671,11706.96,None,
0.0751509,0.18671,11706.96,None,
0.0837051,0.18671,11706.96,None,
0.09800979,0.18671,11706.96,None,
0.1111481,0.18671,11706.96,None,
0.1264163,0.179556,11635.37,None,
0.147676,0.179556,11635.37,None,
0.1567098,0.179556,11635.37,None,
0.1681824,0.179556,11635.37,None,
0.1815857,0.179556,11635.37,None,
0.1950409,0.179556,11635.37,None,
0.2086755,0.179556,11635.37,None,
0.2272346,0.179556,11635.37,None,
0.2362424,0.218006,11563.95,None,
0.2501555,0.218006,11563.95,None,
0.2638195,0.218006,11563.95,None,
0.277376,0.218006,11563.95,None,
0.2916776,0.218006,11563.95,None,
0.305147,0.218006,11563.95,None,
0.3188572,0.218006,11563.95,None,
0.3326477,0.218006,11850.67,None,
0.3465339,0.218006,11850.67,None,
0.3625294,0.218006,11850.67,None,
0.3797442,0.218006,11850.67,None,
0.3875372,0.218006,11850.67,None,
0.4022718,0.218006,11850.67,None,
0.4165531,0.218006,11850.67,None,
0.4298083,0.21011,11635.37,None,
0.4448569,0.21011,11635.37,None,
0.4591195,0.21011,11635.37,None,
0.4726862,0.21011,11635.37,None,
0.487168,0.21011,11635.37,None,
0.5005284,0.21011,11635.37,None,
0.5200324,0.21011,11635.37,None,
0.5291812,0.252436,11706.96,None,
0.5419051,0.252436,11706.96,None,
0.5566246,0.252436,11706.96,None,
0.5699634,0.252436,11706.96,None,
0.5829557,0.252436,11706.96,None,
0.5969114,0.252436,11706.96,None,
0.6113407,0.252436,11706.96,None,
0.6249589,0.252436,11778.73,None,
0.6387581,0.252436,11778.73,None,
0.6532483,0.252436,11778.73,None,
0.6716608,0.252436,11778.73,None,
0.6805989,0.252436,11778.73,None,
0.6946899,0.252436,11778.73,None,
0.7083274,0.252436,11778.73,None,
0.722472,0.252436,11778.73,None,
0.7366487,0.320884,11706.96,None,
0.7506395,0.320884,11706.96,None,
0.7658504,0.320884,11706.96,None,
0.7783609,0.320884,11706.96,None,
0.7917463,0.320884,11706.96,None,
0.8056872,0.320884,11706.96,None,
0.8246977,0.320884,11706.96,None,
0.8331861,0.331192,11635.37,None,
0.847631,0.331192,11635.37,None,
0.8619139,0.331192,11635.37,None,
0.8752366,0.331192,11635.37,None,
0.889185,0.331192,11635.37,None,
0.9036136,0.331192,11635.37,None,
0.9164113,0.331192,11635.37,None,
0.9306609,0.270865,11492.7,None,
0.9452426,0.270865,11492.7,None,
0.9581477,0.270865,11492.7,None,
0.978269,0.270865,11492.7,None,
0.9868552,0.270865,11492.7,None,
1.000389,0.270865,11492.7,None,
1.014852,0.270865,11492.7,None,
