time,speed_sensor,flex_sensor,action_time,record_time
0.0238885,0.216943,11068.84,None,
0.045586,0.216943,11068.84,None,
0.056684,0.216943,11068.84,None,
0.0710657,0.208918,11209.44,None,
0.0846554,0.208918,11209.44,None,
0.0977104,0.208918,11209.44,None,
0.1110694,0.208918,11209.44,None,
0.1248173,0.208918,11209.44,None,
0.1388261,0.208918,11209.44,None,
0.152541,0.208918,11209.44,None,
0.1712883,0.200961,11280,None,
0.1804943,0.200961,11280,None,
0.1940458,0.200961,11280,None,
0.2077993,0.200961,11280,None,
0.2249118,0.200961,11280,None,
0.2354144,0.200961,11280,None,
0.2501904,0.200961,11280,None,
0.2631924,0.200961,11280,None,
0.2771955,0.185746,11209.44,None,
0.2915294,0.185746,11209.44,None,
0.3053132,0.185746,11209.44,None,
0.3244409,0.185746,11209.44,None,
0.3340191,0.185746,11209.44,None,
0.3471757,0.185746,11209.44,None,
0.3606496,0.185746,11209.44,None,
0.374367,0.171281,11209.44,None,
0.3880835,0.171281,11209.44,None,
0.4017848,0.171281,11209.44,None,
0.416514,0.171281,11209.44,None,
0.4316427,0.171281,11209.44,None,
0.4436145,0.171281,11209.44,None,
0.4579681,0.171281,11209.44,None,
0.4770046,0.178382,11350.73,None,
0.4856886,0.178382,11350.73,None,
0.4989902,0.178382,11350.73,None,
0.513501,0.178382,11350.73,None,
0.5264233,0.178382,11350.73,None,
0.5411258,0.178382,11350.73,None,
0.5552183,0.178382,11350.73,None,
0.5689929,0.178382,11350.73,None,
0.5837151,0.164289,11209.44,None,
0.5966215,0.164289,11209.44,None,
0.610257,0.164289,11209.44,None,
0.630708,0.164289,11209.44,None,
0.641786,0.164289,11209.44,None,
0.6520997,0.164289,11209.44,None,
0.6655101,0.164289,11209.44,None,
0.6795533,0.150921,11209.44,None,
0.6930194,0.150921,11209.44,None,
0.7073514,0.150921,11209.44,None,
0.7214651,0.150921,11209.44,None,
0.7349107,0.150921,11209.44,None,
0.7494661,0.150921,11209.44,None,
0.7632111,0.150921,11209.44,None,
0.7818949,0.150921,11209.44,None,
0.7910129,0.150921,11421.63,None,
0.8046415,0.150921,11421.63,None,
0.8183302,0.150921,11421.63,None,
0.8324376,0.150921,11421.63,None,
0.8483365,0.150921,11421.63,None,Yes
0.8606623,0.150921,11421.63,None,
0.8744503,0.150921,11421.63,None,
0.8876036,0.138264,11280,None,
0.901987,0.138264,11280,None,
0.9162208,0.138264,11280,None,
0.9345497,0.138264,11280,None,
0.9433416,0.138264,11280,None,
0.957631,0.138264,11280,None,
0.9715309,0.138264,11280,None,
0.9847694,0.150921,11068.84,None,
0.9989877,0.150921,11068.84,None,
1.013265,0.150921,11068.84,None,
1.026536,0.150921,11068.84,None,
1.041274,0.150921,11068.84,None,
1.057555,0.150921,11068.84,None,
1.072276,0.150921,11068.84,None,
1.088399,0.150921,11068.84,None,
1.097845,0.164289,11209.44,None,
1.11069,0.164289,11209.44,None,
1.125518,0.164289,11209.44,None,
1.139272,0.164289,11209.44,None,
1.153617,0.164289,11209.44,None,
1.166464,0.164289,11209.44,None,
1.180979,0.164289,11209.44,None,
1.195181,0.164289,11421.63,None,
1.206941,0.164289,11421.63,None,
1.220988,0.164289,11421.63,None,
1.234251,0.164289,11421.63,None,
1.254231,0.164289,11421.63,None,
1.265502,0.164289,11421.63,None,
1.276932,0.164289,11421.63,None,
1.290245,0.164289,11421.63,None,
1.303846,0.178382,11492.7,None,
1.318033,0.178382,11492.7,None,
1.332449,0.178382,11492.7,None,
1.346094,0.178382,11492.7,None,
1.35988,0.178382,11492.7,None,
1.382064,0.178382,11492.7,None,
1.404647,0.178382,11492.7,None,
1.425443,0.178382,11492.7,None,
1.448799,0.178382,11492.7,None,
1.464356,0.178382,11492.7,None,
1.487415,0.178382,11492.7,None,
1.499971,0.171281,11706.96,Inhale,
1.513871,0.171281,11706.96,None,
1.525852,0.171281,11706.96,None,
1.540633,0.171281,11706.96,None,
1.553544,0.171281,11706.96,None,
1.566888,0.171281,11706.96,None,
1.586539,0.171281,11706.96,None,
1.595781,0.171281,11706.96,None,
1.608612,0.171281,11850.67,None,
1.62273,0.171281,11850.67,None,
1.636892,0.171281,11850.67,None,
1.651352,0.171281,11850.67,None,
1.664596,0.171281,11850.67,None,
1.680461,0.171281,11850.67,None,
1.694995,0.171281,11850.67,None,
1.708464,0.178382,11635.37,None,
1.721316,0.178382,11635.37,None,
1.740292,0.178382,11635.37,None,
1.750563,0.178382,11635.37,None,
1.768771,0.178382,11635.37,None,
1.779497,0.178382,11635.37,None,
1.789865,0.178382,11635.37,None,
1.80391,0.178382,11635.37,None,
1.817833,0.164289,11563.95,None,
1.832975,0.164289,11563.95,None,
1.844446,0.164289,11563.95,None,
1.859988,0.164289,11563.95,None,
1.872395,0.164289,11563.95,None,
1.892397,0.164289,11563.95,None,
1.902979,0.164289,11563.95,None,
1.914888,0.164289,11778.73,None,
1.928572,0.164289,11778.73,None,
1.941905,0.164289,11778.73,None,
1.956097,0.164289,11778.73,None,
1.969453,0.164289,11778.73,None,
1.98416,0.164289,11778.73,None,
1.997672,0.164289,11778.73,None,
2.011273,0.164289,11706.96,None,
2.025266,0.164289,11706.96,None,
2.044997,0.164289,11706.96,None,
2.05459,0.164289,11706.96,None,
2.068319,0.164289,11706.96,None,
2.081459,0.164289,11706.96,None,
2.096259,0.164289,11706.96,None,
2.108711,0.164289,11706.96,None,
2.124108,0.164289,11778.73,None,
2.137976,0.164289,11778.73,None,
2.151193,0.164289,11778.73,None,
2.166088,0.164289,11778.73,None,
2.180475,0.164289,11778.73,None,
2.200089,0.164289,11778.73,None,
2.221531,0.164289,11922.79,None,
2.235979,0.164289,11922.79,None,
2.248165,0.164289,11922.79,None,
2.261406,0.164289,11922.79,None,
2.275911,0.164289,11922.79,None,
2.289732,0.164289,11922.79,None,
2.304514,0.164289,11922.79,None,
2.317076,0.138264,11778.73,None,
2.331609,0.138264,11778.73,None,
2.350725,0.138264,11778.73,None,
2.359186,0.138264,11778.73,None,
2.373169,0.138264,11778.73,None,
2.386687,0.138264,11778.73,None,
2.400315,0.138264,11778.73,None,
2.415315,0.138264,11778.73,None,
2.428288,0.138264,11563.95,None,
2.441926,0.138264,11563.95,None,
2.456787,0.138264,11563.95,None,
2.470448,0.138264,11563.95,None,
2.486754,0.138264,11563.95,None,
2.504828,0.138264,11563.95,None,
2.51571,0.138264,11563.95,None,
2.527061,0.138264,11850.67,None,
2.540524,0.138264,11850.67,None,
2.553464,0.138264,11850.67,None,
2.566569,0.138264,11850.67,None,
2.581146,0.138264,11850.67,None,
2.596099,0.138264,11850.67,None,
2.6089,0.138264,11850.67,None,
2.622635,0.138264,11850.67,None,
2.637218,0.1263,12067.57,None,
2.656919,0.1263,12067.57,None,
2.665813,0.1263,12067.57,None,
2.677651,0.1263,12067.57,None,
2.691835,0.1263,12067.57,None,
2.705792,0.1263,12067.57,None,
2.721339,0.1263,12067.57,None,
2.733948,0.138264,11995.09,None,
2.747716,0.138264,11995.09,None,
2.761768,0.138264,11995.09,None,
2.775191,0.138264,11995.09,None,
2.790102,0.138264,11995.09,None,
2.809513,0.138264,11995.09,None,
2.820444,0.138264,11995.09,None,
2.83329,0.115014,11778.73,None,
2.846381,0.115014,11778.73,None,
2.860478,0.115014,11778.73,None,
2.873248,0.115014,11778.73,None,
2.888248,0.115014,11778.73,None,
2.900429,0.115014,11778.73,None,
2.915112,0.115014,11778.73,None,
2.929869,0.115014,11778.73,None,
2.941667,0.115014,11778.73,None,
2.961266,0.115014,11778.73,None,
2.969994,0.115014,11778.73,None,
2.983522,0.115014,11778.73,None,
2.998004,0.115014,11778.73,None,
3.012103,0.115014,11778.73,None,
3.025155,0.115014,11778.73,None,
3.040504,0.115014,11850.67,None,
3.053368,0.115014,11850.67,None,
3.066997,0.115014,11850.67,None,
3.081699,0.115014,11850.67,None,
3.094912,0.115014,11850.67,None,
3.114492,0.115014,11850.67,None,
3.123154,0.115014,11850.67,None,
3.138372,0.115014,11850.67,None,
3.150436,0.104388,11706.96,None,
3.164958,0.104388,11706.96,None,
3.178638,0.104388,11706.96,None,
3.192465,0.104388,11706.96,None,
3.206557,0.104388,11706.96,None,
3.220931,0.104388,11706.96,None,
3.234137,0.104388,11706.96,None,
3.248472,0.109603,11850.67,None,
3.267498,0.109603,11850.67,None,
3.27794,0.109603,11850.67,None,
3.290212,0.109603,11850.67,None,
3.303448,0.109603,11850.67,None,
3.318363,0.109603,11850.67,None,
3.333103,0.109603,11850.67,None,
3.346569,0.104388,12067.57,None,
3.359006,0.104388,12067.57,None,
3.373867,0.104388,12067.57,None,
3.38745,0.104388,12067.57,None,
3.401529,0.104388,12067.57,None,
3.420918,0.104388,12067.57,None,
3.430068,0.104388,12067.57,None,
3.442314,0.104388,12067.57,None,
3.455919,0.104388,11778.73,None,
3.470589,0.104388,11778.73,None,
3.483633,0.104388,11778.73,None,
3.497962,0.104388,11778.73,None,
3.511751,0.104388,11778.73,None,
3.525399,0.104388,11778.73,None,
3.540218,0.104388,11778.73,None,
3.55503,0.104388,11778.73,None,
3.572071,0.104388,11778.73,None,
3.581281,0.104388,11778.73,None,
3.594539,0.104388,11778.73,None,
3.609475,0.104388,11778.73,None,
3.62647,0.104388,11778.73,None,
3.640369,0.104388,11778.73,None,
3.652232,0.104388,11778.73,None,
3.665137,0.094406,11850.67,None,
3.680249,0.094406,11850.67,None,
3.69787,0.094406,11850.67,None,
3.726919,0.094406,11850.67,None,
3.752404,0.094406,11850.67,None,
3.762911,0.094406,11922.79,None,
